temperature, rainfall, humidity, yeild1, yeild2, yeild3
25.00  ,  76.00  ,  99.00  ,  1022.10  ,  1022.10  ,  2674.00
39.00  ,  65.00  ,  70.00  ,  748.00  ,  748.00  ,  2293.00
59.00  ,  45.00  ,  77.00  ,  796.40  ,  796.40  ,  2371.00
84.00  ,  63.00  ,  38.00  ,  473.50  ,  473.50  ,  2359.00
66.00  ,  50.00  ,  52.00  ,  576.40  ,  576.40  ,  2170.00
41.00  ,  94.00  ,  77.00  ,  851.10  ,  851.10  ,  2792.00
91.00  ,  57.00  ,  96.00  ,  1002.80  ,  1002.80  ,  3177.00
49.00  ,  96.00  ,  99.00  ,  1060.10  ,  1060.10  ,  3222.00
67.00  ,  20.00  ,  28.00  ,  317.10  ,  317.10  ,  1456.00
85.00  ,  31.00  ,  95.00  ,  956.80  ,  956.80  ,  2753.00
78.00  ,  46.00  ,  34.00  ,  411.60  ,  411.60  ,  2010.00
31.00  ,  40.00  ,  63.00  ,  647.10  ,  647.10  ,  1774.00
52.00  ,  77.00  ,  85.00  ,  908.10  ,  908.10  ,  2815.00
28.00  ,  66.00  ,  77.00  ,  808.20  ,  808.20  ,  2272.00
32.00  ,  50.00  ,  57.00  ,  605.40  ,  605.40  ,  1832.00
31.00  ,  79.00  ,  53.00  ,  605.80  ,  605.80  ,  2141.00
45.00  ,  76.00  ,  48.00  ,  562.90  ,  562.90  ,  2200.00
80.00  ,  52.00  ,  27.00  ,  356.00  ,  356.00  ,  2014.00
24.00  ,  45.00  ,  90.00  ,  898.50  ,  898.50  ,  2133.00
20.00  ,  89.00  ,  84.00  ,  898.50  ,  898.50  ,  2573.00
32.00  ,  20.00  ,  96.00  ,  925.20  ,  925.20  ,  1988.00
56.00  ,  44.00  ,  74.00  ,  766.00  ,  766.00  ,  2280.00
93.00  ,  70.00  ,  80.00  ,  873.50  ,  873.50  ,  3146.00
62.00  ,  87.00  ,  73.00  ,  815.70  ,  815.70  ,  2897.00
85.00  ,  48.00  ,  90.00  ,  932.90  ,  932.90  ,  2904.00
87.00  ,  86.00  ,  93.00  ,  1010.90  ,  1010.90  ,  3464.00
43.00  ,  57.00  ,  69.00  ,  730.40  ,  730.40  ,  2223.00
28.00  ,  71.00  ,  44.00  ,  511.10  ,  511.10  ,  1875.00
44.00  ,  95.00  ,  58.00  ,  679.10  ,  679.10  ,  2575.00
88.00  ,  48.00  ,  46.00  ,  529.60  ,  529.60  ,  2324.00
80.00  ,  50.00  ,  38.00  ,  454.60  ,  454.60  ,  2142.00
27.00  ,  75.00  ,  89.00  ,  929.80  ,  929.80  ,  2545.00
93.00  ,  61.00  ,  73.00  ,  797.40  ,  797.40  ,  2931.00
31.00  ,  87.00  ,  62.00  ,  699.00  ,  699.00  ,  2371.00
38.00  ,  94.00  ,  44.00  ,  546.00  ,  546.00  ,  2294.00
55.00  ,  93.00  ,  55.00  ,  654.40  ,  654.40  ,  2639.00
56.00  ,  22.00  ,  47.00  ,  489.00  ,  489.00  ,  1616.00
38.00  ,  64.00  ,  79.00  ,  829.00  ,  829.00  ,  2394.00
26.00  ,  22.00  ,  40.00  ,  409.60  ,  409.60  ,  1158.00
27.00  ,  98.00  ,  24.00  ,  361.70  ,  361.70  ,  1934.00
55.00  ,  37.00  ,  38.00  ,  425.20  ,  425.20  ,  1673.00
63.00  ,  69.00  ,  46.00  ,  544.40  ,  544.40  ,  2297.00
21.00  ,  34.00  ,  21.00  ,  247.90  ,  247.90  ,  988.00
31.00  ,  89.00  ,  85.00  ,  913.20  ,  913.20  ,  2719.00
45.00  ,  69.00  ,  91.00  ,  949.40  ,  949.40  ,  2711.00
48.00  ,  86.00  ,  77.00  ,  844.20  ,  844.20  ,  2772.00
27.00  ,  51.00  ,  27.00  ,  328.20  ,  328.20  ,  1365.00
40.00  ,  47.00  ,  88.00  ,  890.70  ,  890.70  ,  2323.00
29.00  ,  45.00  ,  69.00  ,  707.80  ,  707.80  ,  1899.00
35.00  ,  55.00  ,  85.00  ,  871.00  ,  871.00  ,  2325.00
62.00  ,  43.00  ,  58.00  ,  620.50  ,  620.50  ,  2115.00
67.00  ,  95.00  ,  54.00  ,  653.80  ,  653.80  ,  2795.00
35.00  ,  46.00  ,  55.00  ,  583.30  ,  583.30  ,  1788.00
36.00  ,  75.00  ,  28.00  ,  373.10  ,  373.10  ,  1799.00
97.00  ,  62.00  ,  87.00  ,  929.50  ,  929.50  ,  3188.00
29.00  ,  52.00  ,  25.00  ,  312.10  ,  312.10  ,  1374.00
31.00  ,  26.00  ,  72.00  ,  711.70  ,  711.70  ,  1718.00
94.00  ,  100.00  ,  59.00  ,  719.80  ,  719.80  ,  3254.00
47.00  ,  52.00  ,  76.00  ,  790.30  ,  790.30  ,  2304.00
46.00  ,  52.00  ,  70.00  ,  734.60  ,  734.60  ,  2208.00
40.00  ,  68.00  ,  72.00  ,  770.80  ,  770.80  ,  2372.00
35.00  ,  27.00  ,  84.00  ,  825.40  ,  825.40  ,  1947.00
69.00  ,  96.00  ,  29.00  ,  426.10  ,  426.10  ,  2482.00
69.00  ,  57.00  ,  52.00  ,  587.00  ,  587.00  ,  2297.00
33.00  ,  45.00  ,  71.00  ,  728.20  ,  728.20  ,  1975.00
88.00  ,  95.00  ,  82.00  ,  921.90  ,  921.90  ,  3439.00
48.00  ,  90.00  ,  69.00  ,  775.80  ,  775.80  ,  2712.00
55.00  ,  78.00  ,  66.00  ,  736.10  ,  736.10  ,  2598.00
28.00  ,  44.00  ,  67.00  ,  687.60  ,  687.60  ,  1846.00
34.00  ,  58.00  ,  27.00  ,  340.80  ,  340.80  ,  1540.00
62.00  ,  46.00  ,  89.00  ,  909.60  ,  909.60  ,  2588.00
92.00  ,  78.00  ,  89.00  ,  966.20  ,  966.20  ,  3364.00
20.00  ,  69.00  ,  70.00  ,  743.70  ,  743.70  ,  2117.00
88.00  ,  49.00  ,  65.00  ,  705.70  ,  705.70  ,  2603.00
56.00  ,  83.00  ,  36.00  ,  467.10  ,  467.10  ,  2255.00
51.00  ,  67.00  ,  54.00  ,  609.40  ,  609.40  ,  2239.00
47.00  ,  50.00  ,  71.00  ,  741.70  ,  741.70  ,  2208.00
32.00  ,  94.00  ,  71.00  ,  791.40  ,  791.40  ,  2600.00
33.00  ,  21.00  ,  96.00  ,  927.00  ,  927.00  ,  2013.00
100.00  ,  81.00  ,  69.00  ,  790.10  ,  790.10  ,  3219.00
31.00  ,  58.00  ,  22.00  ,  293.30  ,  293.30  ,  1434.00
74.00  ,  96.00  ,  33.00  ,  465.40  ,  465.40  ,  2598.00
79.00  ,  98.00  ,  99.00  ,  1077.70  ,  1077.70  ,  3608.00
49.00  ,  76.00  ,  38.00  ,  472.90  ,  472.90  ,  2108.00
78.00  ,  51.00  ,  79.00  ,  832.10  ,  832.10  ,  2705.00
28.00  ,  51.00  ,  62.00  ,  650.70  ,  650.70  ,  1867.00
43.00  ,  49.00  ,  55.00  ,  591.20  ,  591.20  ,  1923.00
73.00  ,  62.00  ,  50.00  ,  577.10  ,  577.10  ,  2382.00
41.00  ,  59.00  ,  78.00  ,  814.80  ,  814.80  ,  2351.00
44.00  ,  31.00  ,  52.00  ,  540.70  ,  540.70  ,  1659.00
29.00  ,  97.00  ,  29.00  ,  407.40  ,  407.40  ,  2015.00
38.00  ,  75.00  ,  60.00  ,  668.50  ,  668.50  ,  2271.00
68.00  ,  60.00  ,  29.00  ,  378.80  ,  378.80  ,  2002.00
46.00  ,  71.00  ,  37.00  ,  455.70  ,  455.70  ,  1993.00
